"provider","object_type","current_schema","current_relation","current_column","current_data_type","new_schema","new_relation","new_column","new_data_type","change_type","notes"
"sqlserver","view_column","dbo","NoiseLevelSiteAvg","SerialId","nvarchar","dbo","noise_level_site_avg","serial_id","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table","dbo","Notifications","","","dbo","notification","","","rename_relation","relation_not_lowercase"
"sqlserver","table_column","dbo","Notifications","AlertField","nvarchar","dbo","notification","alert_field","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","Notifications","AlertType","int","dbo","notification","alert_type","int","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","Notifications","AveragingPeriod","int","dbo","notification","averaging_period","int","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","Notifications","ClosedByUser","uniqueidentifier","dbo","notification","closed_by_user","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","Notifications","ClosedNote","nvarchar","dbo","notification","closed_note","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","Notifications","ClosedTime","datetime2","dbo","notification","closed_time","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","Notifications","Id","uniqueidentifier","dbo","notification","id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase;single_column_pk"
"sqlserver","table_column","dbo","Notifications","Level","float","dbo","notification","level","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","Notifications","LimitOn","float","dbo","notification","limit_on","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","Notifications","MonitorId","uniqueidentifier","dbo","notification","monitor_id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","Notifications","NotificationTime","datetime2","dbo","notification","notification_time","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","Notifications","RecordingLink","nvarchar","dbo","notification","recording_link","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view","dbo","NotificationSearch","","","dbo","notification_search","","","rename_relation","relation_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","AlertField","nvarchar","dbo","notification_search","alert_field","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","AlertType","int","dbo","notification_search","alert_type","int","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","ClosedDate","datetime2","dbo","notification_search","closed_date","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","ContractId","uniqueidentifier","dbo","notification_search","contract_id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","ContractNumber","nvarchar","dbo","notification_search","contract_number","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","FleetNr","nvarchar","dbo","notification_search","fleet_row_count","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","Id","uniqueidentifier","dbo","notification_search","id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","LastDataTime","datetime2","dbo","notification_search","last_data_time","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","Level","float","dbo","notification_search","level","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","LimitOn","float","dbo","notification_search","limit_on","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","MonitorId","uniqueidentifier","dbo","notification_search","monitor_id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","NotificationTime","datetime2","dbo","notification_search","notification_time","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","SerialId","nvarchar","dbo","notification_search","serial_id","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","SiteiD","uniqueidentifier","dbo","notification_search","site_id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","SiteName","nvarchar","dbo","notification_search","site_name","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationSearch","TypeOfMonitor","int","dbo","notification_search","type_of_monitor","int","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table","dbo","NotificationSettings","","","dbo","notification_setting","","","rename_relation","relation_not_lowercase"
"sqlserver","table_column","dbo","NotificationSettings","Email","bit","dbo","notification_setting","email","bit","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","NotificationSettings","EndTime","time","dbo","notification_setting","end_time","time","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","NotificationSettings","Id","uniqueidentifier","dbo","notification_setting","id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase;single_column_pk"
"sqlserver","table_column","dbo","NotificationSettings","SiteId","uniqueidentifier","dbo","notification_setting","site_id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","NotificationSettings","SiteUserId","uniqueidentifier","dbo","notification_setting","site_user_id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase;fk_to_site_user"
"sqlserver","table_column","dbo","NotificationSettings","SMS","bit","dbo","notification_setting","sms","bit","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","NotificationSettings","StartTime","time","dbo","notification_setting","start_time","time","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","NotificationSettings","UserId","uniqueidentifier","dbo","notification_setting","user_id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table","dbo","NotificationsSent","","","dbo","notification_sent","","","rename_relation","relation_not_lowercase"
"sqlserver","table_column","dbo","NotificationsSent","Address","nvarchar","dbo","notification_sent","address","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","NotificationsSent","ErrorMessage","nvarchar","dbo","notification_sent","error_message","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","NotificationsSent","Id","uniqueidentifier","dbo","notification_sent","id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase;single_column_pk"
"sqlserver","table_column","dbo","NotificationsSent","NotificationId","uniqueidentifier","dbo","notification_sent","notification_id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","NotificationsSent","SendTime","datetime2","dbo","notification_sent","send_time","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view","dbo","NotificationUserSearch","","","dbo","notification_user_search","","","rename_relation","relation_not_lowercase"
