provider,object_type,current_schema,current_relation,current_object,current_columns,new_schema,new_relation,new_object,new_columns,change_type,notes
postgres,primary_key,public,SiteUsers,PK_SiteUsers,Id,public,site_user,pk_site_user,id,rename_object,
postgres,primary_key,public,Sites,PK_Sites,Id,public,site,pk_site,id,rename_object,
postgres,index,public,SvantekNoise8HourAverage,SvantekNoise8HourAverage_SampleTime_idx,SampleTime,public,svantek_noise_8_hour_average,ix_svantek_noise_8_hour_average_sample_time,sample_time,rename_object,
postgres,index,public,SvantekNoiseLevels,SvantekNoiseLevels_SampleTime_idx,SampleTime,public,svantek_noise_level,ix_svantek_noise_level_sample_time,sample_time,rename_object,
postgres,index,public,UserActionsHistory,UserActionsHistory_Timestamp_idx,Timestamp,public,user_action_history,ix_user_action_history_recorded_at,recorded_at,rename_object,
postgres,primary_key,public,UserActionsHistory,pk_useractionshistory,ID|Timestamp,public,user_action_history,pk_user_action_history,id|recorded_at,rename_object,
sqlserver,default_constraint,dbo,AirQMonitorStatus,DF__AirQMonit__Error__1332DBDC,ErrorCount,dbo,air_q_monitor_status,df_air_q_monitor_status_error_count,error_count,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,primary_key,dbo,AirQMonitorStatus,PK__AirQMoni__5E5B3EE492A9E513,SerialId,dbo,air_q_monitor_status,pk_air_q_monitor_status,id,rename_object,
sqlserver,foreign_key,dbo,AspNetRoleClaims,FK_AspNetRoleClaims_AspNetRoles_RoleId,RoleId,dbo,AspNetRoleClaims,FK_AspNetRoleClaims_AspNetRoles_RoleId,RoleId,no_change,identity_excluded
sqlserver,primary_key,dbo,AspNetRoleClaims,PK_AspNetRoleClaims,Id,dbo,AspNetRoleClaims,PK_AspNetRoleClaims,Id,no_change,identity_excluded
sqlserver,primary_key,dbo,AspNetRoles,PK_AspNetRoles,Id,dbo,AspNetRoles,PK_AspNetRoles,Id,no_change,identity_excluded
sqlserver,foreign_key,dbo,AspNetUserClaims,FK_AspNetUserClaims_AspNetUsers_UserId,UserId,dbo,AspNetUserClaims,FK_AspNetUserClaims_AspNetUsers_UserId,UserId,no_change,identity_excluded
sqlserver,primary_key,dbo,AspNetUserClaims,PK_AspNetUserClaims,Id,dbo,AspNetUserClaims,PK_AspNetUserClaims,Id,no_change,identity_excluded
sqlserver,foreign_key,dbo,AspNetUserLogins,FK_AspNetUserLogins_AspNetUsers_UserId,UserId,dbo,AspNetUserLogins,FK_AspNetUserLogins_AspNetUsers_UserId,UserId,no_change,identity_excluded
sqlserver,primary_key,dbo,AspNetUserLogins,PK_AspNetUserLogins,LoginProvider|ProviderKey,dbo,AspNetUserLogins,PK_AspNetUserLogins,LoginProvider|ProviderKey,no_change,identity_excluded
sqlserver,foreign_key,dbo,AspNetUserRoles,FK_AspNetUserRoles_AspNetRoles_RoleId,RoleId,dbo,AspNetUserRoles,FK_AspNetUserRoles_AspNetRoles_RoleId,RoleId,no_change,identity_excluded
sqlserver,foreign_key,dbo,AspNetUserRoles,FK_AspNetUserRoles_AspNetUsers_UserId,UserId,dbo,AspNetUserRoles,FK_AspNetUserRoles_AspNetUsers_UserId,UserId,no_change,identity_excluded
sqlserver,primary_key,dbo,AspNetUserRoles,PK_AspNetUserRoles,UserId|RoleId,dbo,AspNetUserRoles,PK_AspNetUserRoles,UserId|RoleId,no_change,identity_excluded
sqlserver,foreign_key,dbo,AspNetUserTokens,FK_AspNetUserTokens_AspNetUsers_UserId,UserId,dbo,AspNetUserTokens,FK_AspNetUserTokens_AspNetUsers_UserId,UserId,no_change,identity_excluded
sqlserver,primary_key,dbo,AspNetUserTokens,PK_AspNetUserTokens,UserId|LoginProvider|Name,dbo,AspNetUserTokens,PK_AspNetUserTokens,UserId|LoginProvider|Name,no_change,identity_excluded
sqlserver,primary_key,dbo,AspNetUsers,PK_AspNetUsers,Id,dbo,AspNetUsers,PK_AspNetUsers,Id,no_change,identity_excluded
sqlserver,primary_key,dbo,Companies,PK_Companies,Id,dbo,company,pk_company,id,rename_object,
sqlserver,foreign_key,dbo,Contracts,FK_Contracts_Companies_CompanyId,CompanyId,dbo,contract,fk_contract_company_id,company_id,rename_object,
sqlserver,foreign_key,dbo,Contracts,FK_Contracts_Sites_SiteiD,SiteiD,dbo,contract,fk_contract_site_id,site_id,rename_object,
sqlserver,primary_key,dbo,Contracts,PK_Contracts,Id,dbo,contract,pk_contract,id,rename_object,
sqlserver,foreign_key,dbo,Deployments,FK_Deployments_Contracts_ContractId,ContractId,dbo,deployment,fk_deployment_contract_id,contract_id,rename_object,
sqlserver,foreign_key,dbo,Deployments,FK_Deployments_MonitorsList_MonitorId,MonitorId,dbo,deployment,fk_deployment_monitor_id,monitor_id,rename_object,
sqlserver,primary_key,dbo,Deployments,PK2_Deployments,Id,dbo,deployment,pk_deployment,id,rename_object,
sqlserver,default_constraint,dbo,ErrorLog,DF_ErrorLog_Timestamtp,Timestamtp,dbo,error_log,df_error_log_logged_at,logged_at,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,primary_key,dbo,ErrorLog,PK_NLogError,Id,dbo,error_log,pk_error_log,id,rename_object,
sqlserver,foreign_key,dbo,HelpArticles,FK_HelpArticles_HelpSections_SectionId,SectionId,dbo,help_article,fk_help_article_help_section_id,help_section_id,rename_object,
sqlserver,index,dbo,HelpArticles,IX_HelpArticles_SectionId,SectionId,dbo,help_article,ix_help_article_help_section_id,help_section_id,rename_object,
sqlserver,index,dbo,HelpArticles,IX_HelpArticles_Slug,Slug,dbo,help_article,ix_help_article_slug,slug,rename_object,
